Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
245466315,Nemesis Games (The Expanse Book 5),James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",0,4.45,,Kindle Edition,,2015,2015,,2026/01/02,,,read,,,,1,0
29808780,"A Closed and Common Orbit (Wayfarers, #2)",Becky Chambers,"Chambers, Becky",,"=""""","=""""",5,4.37,Harper Voyager,Kindle Edition,365,2016,2016,2026/03/16,2026/03/16,,,read,,,,1,0
32110458,The Book of Joy: Lasting Happiness in a Changing World,Dalai Lama XIV,"XIV, Dalai Lama","Desmond Tutu, Douglas Carlton Abrams","=""0399185062""","=""9780399185069""",0,4.38,Avery,Kindle Edition,366,2015,2016,,2026/03/15,currently-reading,currently-reading (#62),currently-reading,,,,1,0
26042767,"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky Chambers,"Chambers, Becky",,"=""""","=""""",5,4.17,Harper Voyager,Kindle Edition,423,2015,2014,2026/03/12,2026/03/10,,,read,,,,1,0
13055592,Redshirts,John Scalzi,"Scalzi, John",,"=""0765316994""","=""9780765316998""",0,3.87,Tor Books,ebook,320,2012,2012,,2026/03/09,,,read,,,,1,0
213681682,"A Drop of Corruption (Shadow of the Leviathan, #2)",Robert Jackson Bennett,"Bennett, Robert Jackson",,"=""059372383X""","=""9780593723838""",5,4.48,Del Rey,Kindle Edition,458,2025,2025,,2026/03/03,,,read,,,,1,0
208932385,Intermezzo,Sally Rooney,"Rooney, Sally",,"=""0374602646""","=""9780374602642""",0,3.80,"Farrar, Straus and Giroux",Kindle Edition,464,2024,2024,,2026/02/15,,,read,,,,1,0
40212456,The City & The City,China Miéville,"Miéville, China",,"=""""","=""""",0,3.90,Del Rey,ebook,332,2009,2009,,2026/02/15,,,read,,,,1,0
150249463,The Tainted Cup (Shadow of the Leviathan #1),Robert Jackson Bennett,"Bennett, Robert Jackson",,"=""1984820729""","=""9781984820723""",5,4.30,Del Rey,Kindle Edition,410,2024,2024,,2026/02/15,,,read,,,,1,0
199897956,The Ministry of Time,Kaliane Bradley,"Bradley, Kaliane",,"=""""","=""""",5,3.57,Avid Reader Press / Simon & Schuster,Kindle Edition,344,2024,2024,,2026/02/11,,,read,,,,1,0
60784260,Some Desperate Glory,Emily  Tesh,"Tesh, Emily",,"=""1250834996""","=""9781250834997""",0,4.05,Tor Books,Kindle Edition,440,2023,2023,2026/02/09,2025/11/22,,,read,,,,1,0
18886975,"Cibola Burn (Expanse, #4)",James S.A. Corey,"Corey, James S.A.",,"=""0316217603""","=""9780316217606""",5,4.23,Orbit,Kindle Edition,593,2014,2014,2025/12/25,2025/12/25,,,read,,,,1,0
146305853,Kitty Cat Kill Sat: A Feline Space Adventure,Argus .,"., Argus",,"=""1039425917""","=""9781039425910""",0,4.23,Podium Publishing,Kindle Edition,475,2023,2023,,2025/11/18,,,read,,,,1,0
222457771,Not Till We Are Lost (Bobiverse #5),Dennis E. Taylor,"Taylor, Dennis E.",,"=""1680683454""","=""9781680683455""",5,4.31,Ethan Ellenberg Literary Agency,Kindle Edition,354,2025,2024,2025/06/05,2025/03/24,,,read,,,,1,0
35506021,"All These Worlds (Bobiverse, #3)",Dennis E. Taylor,"Taylor, Dennis E.",,"=""""","=""""",5,4.40,Ethan Ellenberg Literary Agency,Kindle Edition,336,2017,2017,2025/11/13,2025/11/13,,,read,,,,1,0
32109569,"We Are Legion (We Are Bob) (Bobiverse, #1)",Dennis E. Taylor,"Taylor, Dennis E.",,"=""""","=""""",0,4.26,Worldbuilders Press,Kindle Edition,383,2016,2016,2025/11/09,2025/02/17,,,read,,,,1,0
56078386,"Heaven's River (Bobiverse, #4)",Dennis E. Taylor,"Taylor, Dennis E.",,"=""1680682105""","=""9781680682106""",5,4.28,Ethan Ellenberg Literary Agency,Kindle Edition,608,2021,2020,2025/10/25,2025/03/23,,,read,,,,1,0
208547650,The Sky Beneath Us,Fiona Valpy,"Valpy, Fiona",,"=""1662516851""","=""9781662516856""",0,4.38,Lake Union Publishing,Kindle Edition,309,2024,2024,,2025/10/25,to-read,to-read (#33),to-read,,,,0,0
48989372,A Very Punchable Face,Colin Jost,"Jost, Colin",,"=""1101906324""","=""9781101906323""",0,4.20,Crown,Hardcover,312,2020,2020,,2025/10/25,to-read,to-read (#32),to-read,,,,0,0
75319056,"System Collapse (The Murderbot Diaries, #7)",Martha Wells,"Wells, Martha",,"=""1250826985""","=""9781250826985""",0,4.25,Tordotcom,Kindle Edition,248,2023,2023,,2025/09/27,,,read,,,,1,0
53413743,"Fugitive Telemetry (The Murderbot Diaries, #6)",Martha Wells,"Wells, Martha",,"=""1250765382""","=""9781250765383""",5,4.29,Tordotcom,Ebook,172,2021,2021,2025/09/27,2025/09/26,,,read,,,,1,0
